stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Admin\OneDrive - Estudiantes ITCR\Escritorio\Estructura\Proyecto de matrix\MatrixProyecto\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.01711] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01712] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.01713] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01715] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.01716] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01718] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.01719] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01721] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.01722] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01724] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.01725] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01727] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.01728] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01730] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01731] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01732] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01734] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01735] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.01736] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01738] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.01739] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01741] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.01742] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01744] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.01745] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01746] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.01748] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01749] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.01750] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01752] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.01753] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01755] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01756] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01758] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01759] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01760] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.01762] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01763] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.01765] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01766] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.01768] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01769] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.01770] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01772] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.01773] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01775] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.01776] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01778] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.01779] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01780] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01782] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01783] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01785] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01786] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.01787] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01789] Score is : 721
